Distance_(microns);Gray_Value_actin;Gray_Value_mito
0;0.10943397;0.481283706
0.066;0.110238968;0.493657406
0.132;0.11132894;0.52930848
0.198;0.110719471;0.562742936
0.264;0.110695897;0.548482507
0.329;0.111383022;0.463735969
0.395;0.111749813;0.348877007
0.461;0.112378003;0.27392294
0.527;0.111652048;0.256056891
0.593;0.110190433;0.276104832
0.659;0.108592917;0.313457434
0.725;0.109386821;0.351886514
0.791;0.113834765;0.386831511
0.857;0.120910566;0.438132017
0.923;0.133496547;0.505857481
0.988;0.151771597;0.551110037
1.054;0.172757709;0.56475699
1.12;0.190258962;0.55012616
1.186;0.196481923;0.50772106
1.252;0.192915248;0.47134076
1.318;0.187662306;0.484131161
1.384;0.18843957;0.557389488
1.45;0.196400799;0.660760238
1.516;0.204490301;0.763945789
1.581;0.211573729;0.859190873
1.647;0.221355045;0.952028352
1.713;0.235635613;1.0906219
1.779;0.25447853;1.28522699
1.845;0.275312101;1.481776683
1.911;0.298029547;1.63056204
1.977;0.323740255;1.690381763
2.043;0.354063928;1.698883618
2.109;0.39269482;1.747973294
2.175;0.443897826;1.833616896
2.24;0.499969648;1.914005437
2.306;0.553679866;1.974033511
2.372;0.644291027;1.981771414
2.438;0.830509051;1.905468857
2.504;1.098780019;1.72269923
2.57;1.368735867;1.46494081
2.636;1.564414179;1.188992241
2.702;1.685600704;0.954933683
2.768;1.799400108;0.825461253
2.833;1.938235574;0.76819961
2.899;2.077898919;0.742786645
2.965;2.177008668;0.763233925
3.031;2.21811557;0.81035006
3.097;2.216204653;0.830670014
3.163;2.170110369;0.81060471
3.229;2.053192898;0.80467251
3.295;1.872435131;0.871217323
3.361;1.712838205;0.974408661
3.426;1.625275081;0.996603769
3.492;1.560995884;0.887260306
3.558;1.489208226;0.727426589
3.624;1.447321287;0.608863619
3.69;1.466779913;0.554773532
3.756;1.537552483;0.524800008
3.822;1.614383686;0.496348599
3.888;1.6412017;0.474251879
3.954;1.628115802;0.470970359
4.02;1.629508081;0.491845915
4.085;1.65813162;0.516807454
4.151;1.652954949;0.515377938
4.217;1.56937452;0.478123724
4.283;1.44639703;0.448410638
4.349;1.370930371;0.487389531
4.415;1.412975397;0.600465939
4.481;1.486325209;0.677549811
4.547;1.466139242;0.647634161
4.613;1.353383355;0.555039758
4.678;1.264917469;0.474112978
4.744;1.280398254;0.461698765
4.81;1.36483707;0.505614406
4.876;1.429696614;0.553112516
4.942;1.443193678;0.574283235
5.008;1.438808138;0.598451885
5.074;1.436522803;0.651650695
5.14;1.410610326;0.678290612
5.206;1.345393698;0.649850778
5.272;1.265321008;0.613875604
5.337;1.209144487;0.633992996
5.403;1.192236755;0.697563027
5.469;1.209729688;0.738480736
5.535;1.246623698;0.738544399
5.601;1.270931033;0.711493568
5.667;1.269450696;0.683557248
5.733;1.25781532;0.64919679
5.799;1.243696306;0.620079817
5.865;1.223456257;0.606710664
5.93;1.20595639;0.601177803
5.996;1.211280748;0.599100086
6.062;1.219667011;0.592241885
6.128;1.195775002;0.592201372
6.194;1.142796979;0.613748279
6.26;1.111671082;0.61669991
6.326;1.118836327;0.595158791
6.392;1.163363604;0.607839229
6.458;1.240732166;0.70490738
6.524;1.317392801;0.860498851
6.589;1.340716943;0.98513292
6.655;1.297737953;1.009446258
6.721;1.230031447;0.94875262
6.787;1.178906792;0.857553007
6.853;1.175777631;0.778611344
6.919;1.217844845;0.770173152
6.985;1.269066571;0.826948644
7.051;1.291248046;0.880917193
7.117;1.262709098;0.93058562
7.182;1.206137358;1.052974135
7.248;1.179838676;1.270665609
7.314;1.17780018;1.485023477
7.38;1.166302783;1.603343371
7.446;1.12559526;1.68159632
7.512;1.056253104;1.796229569
7.578;0.976233803;1.979884685
7.644;0.908497483;2.199393438
7.71;0.863676912;2.362722813
7.776;0.862791483;2.386040698
7.841;0.889409808;2.242325202
7.907;0.880990957;2.083811037
7.973;0.829645811;2.125012335
8.039;0.779839938;2.394640941
8.105;0.759752428;2.691783379
8.171;0.748132306;2.858573686
8.237;0.718213559;2.887117695
8.303;0.671564582;2.781761828
8.369;0.624296429;2.521260128
8.434;0.591708222;2.235791101
8.5;0.584062475;2.046678361
8.566;0.599477389;1.938179874
8.632;0.631180167;1.890728064
8.698;0.658518899;1.981742477
8.764;0.661677875;2.119178523
8.83;0.626176144;2.180410399
8.896;0.566141735;2.191146234
8.962;0.506900536;2.190741108
9.027;0.458504276;2.090385651
9.093;0.416304629;1.889732612
9.159;0.389291779;1.733307739
9.225;0.386007997;1.737602073
9.291;0.397299464;1.813094379
9.357;0.41273518;1.848322964
9.423;0.418495666;1.890861177
9.489;0.407032937;2.008376607
9.555;0.378961318;2.169744015
9.621;0.364121897;2.263524858
9.686;0.365640368;2.283798513
9.752;0.376033926;2.28122307
9.818;0.400552738;2.265272687
9.884;0.446254577;2.174339299
9.95;0.511844236;1.978154219
10.016;0.582819962;1.741531794
10.082;0.663103436;1.56780226
10.148;0.752707136;1.538986238
10.214;0.824900413;1.598742299
10.279;0.841591122;1.636118051
10.345;0.808126501;1.558420703
10.411;0.77875898;1.437207053
10.477;0.793980446;1.392955737
10.543;0.832942766;1.401191366
10.609;0.848991418;1.379598159
10.675;0.841517625;1.318198445
10.741;0.85559157;1.280840055
10.807;0.893710757;1.29780904
10.873;0.946499492;1.389182279
10.938;1.010208048;1.545283051
11.004;1.084918938;1.646113084
11.07;1.152325216;1.646911761
11.136;1.207200289;1.52770059
11.202;1.286741167;1.357756089
11.268;1.423102702;1.264814435
11.334;1.593821221;1.270856597
11.4;1.70984633;1.370158727
11.466;1.72868994;1.488594372
11.531;1.67365678;1.500939135
11.597;1.596479587;1.377450992
11.663;1.522389953;1.178933545
11.729;1.468049466;0.98380758
11.795;1.44316109;0.878943651
11.861;1.463680566;0.858536884
11.927;1.514657535;0.853223948
11.993;1.540869546;0.833650583
12.059;1.518155567;0.803723358
