Distance_(microns);mito;actin
0;0.342423398;1.379378604
0.0659;0.315269863;1.226560628
0.1318;0.321513616;1.117440855
0.1977;0.341015427;1.042529265
0.2636;0.335542225;0.991257334
0.3295;0.298516756;0.955261956
0.3954;0.253941764;0.931073632
0.4613;0.23596223;0.91619782
0.5272;0.243167491;0.904386731
0.593;0.248627245;0.904027679
0.6589;0.231146619;0.920745822
0.7248;0.204910215;0.933643482
0.7907;0.190650306;0.922882657
0.8566;0.181089013;0.904082814
0.9225;0.170317429;0.904572309
0.9884;0.163069135;0.924812397
1.0543;0.158989112;0.946674274
1.1202;0.158510375;0.954285655
1.1861;0.166425673;0.962280295
1.252;0.182066658;0.977790838
1.3179;0.205656561;0.987263376
1.3838;0.222081545;0.989557549
1.4497;0.217113976;1.002392005
1.5156;0.198527951;1.019879355
1.5815;0.193273946;1.043707281
1.6474;0.217142216;1.081380929
1.7132;0.267509119;1.113964633
1.7791;0.334286213;1.135020994
1.845;0.390107491;1.15039706
1.9109;0.409107704;1.174148335
1.9768;0.408243019;1.223915472
2.0427;0.429363929;1.281774071
2.1086;0.484713193;1.345335828
2.1745;0.572810224;1.487115957
2.2404;0.674614464;1.856592032
2.3063;0.732811945;2.59989585
2.3722;0.704223544;3.697497358
2.4381;0.615771495;4.943003063
2.504;0.554571149;6.032296601
2.5699;0.567971752;6.752582042
2.6358;0.613610454;6.959040084
2.7017;0.614922947;6.551922635
2.7676;0.578928914;5.788857467
2.8334;0.594092506;5.194522902
2.8993;0.680439995;4.893373093
2.9652;0.765684774;4.616776039
3.0311;0.778140006;4.344501066
3.097;0.757960433;4.483914405
3.1629;0.787956805;5.210375016
3.2288;0.856584299;6.079664673
3.2947;0.895273246;6.532540508
3.3606;0.897824269;6.473815879
3.4265;0.903803103;6.062058984
3.4924;0.933386632;5.44333707
3.5583;0.972095749;4.836954738
3.6242;1.007495396;4.615727121
3.6901;1.033513948;4.855516557
3.756;1.047935229;5.230196881
3.8219;1.06426339;5.405801934
3.8878;1.073945712;5.290217866
3.9536;1.082592564;4.956072854
4.0195;1.107457305;4.574349985
4.0854;1.189631982;4.366135677
4.1513;1.302077363;4.621978942
4.2172;1.367316044;5.334205195
4.2831;1.33966629;6.121072739
4.349;1.258112896;6.559191101
4.4149;1.183455467;6.465327709
4.4808;1.123644266;5.97871436
4.5467;1.047788649;5.278026209
4.6126;0.961679184;4.570251135
4.6785;0.896447227;4.085208474
4.7444;0.863793595;4.037787955
4.8103;0.875331696;4.485576537
4.8762;0.935059522;5.125506771
4.9421;1.033764074;5.601047309
5.008;1.143525301;5.657276051
5.0738;1.219820656;5.184590453
5.1397;1.235683527;4.332751837
5.2056;1.215832077;3.41714437
5.2715;1.203082341;2.809309689
5.3374;1.225074661;2.601145138
5.4033;1.246061094;2.707598238
5.4692;1.240473588;3.185402019
5.5351;1.226900854;4.179082623
5.601;1.262870682;5.729836988
5.6669;1.323336785;7.258639377
5.7328;1.342548126;7.739955689
5.7987;1.337842786;6.9561448
5.8646;1.330451947;5.785020846
5.9305;1.311208331;5.057812545
5.9964;1.273653023;4.882691609
6.0623;1.216788206;4.91344643
6.1282;1.154103238;4.850125386
6.194;1.156827736;4.667327175
6.2599;1.265599214;4.468887978
6.3258;1.42090232;4.289260728
6.3917;1.487909369;4.265551141
6.4576;1.442516759;4.383296249
6.5235;1.40193976;4.436916143
6.5894;1.461986296;4.327047335
6.6553;1.59493534;4.23794173
6.7212;1.670977879;4.339901963
6.7871;1.630395501;4.637412833
6.853;1.513232676;5.047117613
6.9189;1.366072135;5.431688699
6.9848;1.169619159;5.649756114
7.0507;0.951167141;5.628897433
7.1166;0.801713772;5.523327845
7.1825;0.774580408;5.345592681
7.2484;0.817993521;5.058166219
7.3142;0.914789849;4.619218136
7.3801;1.073267949;4.167033511
7.446;1.260068187;3.964344851
7.5119;1.411308752;4.05008585
7.5778;1.461984951;4.183475977
7.6437;1.365194002;4.315813152
7.7096;1.182900078;4.671205483
7.7755;1.064617063;5.498147083
7.8414;1.005600619;6.718866044
7.9073;0.942422121;7.856278034
7.9732;0.864769896;8.409758577
8.0391;0.82258859;8.2110316
8.105;0.818158927;7.573430503
8.1709;0.810181769;6.910861117
8.2368;0.783459904;6.495695238
8.3027;0.755535818;6.192639893
8.3686;0.740283471;5.962134728
8.4344;0.754938741;5.880852977
8.5003;0.807905079;6.115041459
8.5662;0.871278568;6.442950787
8.6321;0.931191972;6.464429405
8.698;0.978141822;6.03948976
8.7639;1.004310988;5.371558787
