;Distances;1;4;10;20;30
1;0;0.26617958;0.253799994;0.250372375;0.257226386;0.27233883
2;0.217;0.266510862;0.260531538;0.253571564;0.260590719;0.274590029
3;0.433;0.263153603;0.264941766;0.258805708;0.266921265;0.278431203
4;0.65;0.261695155;0.262650526;0.261818114;0.268370831;0.275669266
5;0.867;0.26558839;0.264475589;0.264683059;0.263680889;0.275343975
6;1.083;0.271299635;0.265673158;0.269974782;0.266399189;0.280746244
7;1.3;0.276237889;0.266870728;0.268393445;0.272389947;0.283888195
8;1.517;0.277160361;0.269662323;0.2675143;0.27314973;0.287445119
9;1.733;0.278558209;0.272463487;0.27363461;0.27349535;0.29032106
10;1.95;0.280067831;0.277517614;0.273898634;0.274978457;0.297501792
11;2.167;0.28059034;0.279315335;0.272780744;0.279818605;0.306453386
12;2.383;0.280520313;0.278812247;0.277222814;0.285056873;0.314728556
13;2.6;0.282522818;0.282951791;0.283115614;0.291384503;0.329185783
14;2.817;0.285418167;0.283483588;0.285827482;0.301686042;0.35306278
15;3.033;0.284802737;0.286645664;0.290138944;0.314172136;0.374348087
16;3.25;0.285614782;0.296088145;0.298938821;0.324740547;0.382735741
17;3.467;0.287477232;0.297027335;0.309165554;0.33213858;0.388916277
18;3.683;0.285729249;0.293991031;0.316450099;0.335310415;0.393017381
19;3.9;0.284313894;0.290894576;0.313816877;0.334355219;0.39412702
20;4.117;0.284937404;0.288231487;0.304154707;0.333478771;0.395417545
21;4.333;0.285793889;0.29055417;0.300750478;0.330931095;0.399891062
22;4.55;0.285839676;0.29322136;0.301984932;0.330702139;0.404425381
23;4.767;0.284083613;0.29044617;0.302782623;0.33453605;0.402985891
24;4.983;0.284250601;0.284554019;0.301146515;0.334044598;0.399228319
25;5.2;0.287547259;0.285137766;0.29762853;0.331623795;0.394531354
26;5.417;0.289416443;0.288135791;0.298261907;0.327973632;0.392879056
27;5.633;0.2901221;0.286172652;0.299966831;0.330903387;0.39068866
28;5.85;0.291664042;0.286349006;0.299326431;0.334555008;0.391175077
29;6.067;0.288869693;0.286297057;0.301541147;0.33226837;0.390001595
30;6.283;0.284282921;0.286491183;0.305172887;0.335588954;0.387121094
31;6.5;0.285706355;0.288625208;0.304320425;0.33899412;0.390232644
32;6.717;0.287928368;0.290599284;0.300555268;0.337247058;0.38214444
33;6.933;0.287452992;0.293158474;0.29734344;0.340003274;0.374095758
34;7.15;0.29198051;0.29106136;0.297438938;0.344061765;0.376842494
35;7.367;0.298999376;0.28512136;0.304788085;0.343007403;0.375991264
36;7.583;0.298401453;0.286560905;0.308501279;0.344841964;0.370098018
37;7.8;0.297870863;0.295116145;0.308176866;0.34874004;0.371434144
38;8.017;0.298573827;0.296820905;0.306195279;0.34918191;0.369953612
39;8.233;0.294984941;0.296133259;0.302292493;0.35063585;0.361344031
40;8.45;0.292369699;0.292298575;0.303073331;0.354169348;0.366013634
41;8.667;0.294217336;0.291538474;0.307529445;0.34958878;0.380685189
42;8.883;0.295704065;0.300502474;0.310808684;0.334988128;0.388648748
43;9.1;0.296518802;0.300919436;0.307884754;0.329431947;0.389116924
44;9.317;0.294800446;0.296744348;0.306744394;0.334083972;0.386011456
45;9.533;0.296982058;0.294212499;0.309227346;0.33081443;0.386209062
46;9.75;0.29851188;0.298464145;0.313835134;0.326400109;0.383906182
47;9.967;0.297050739;0.303460854;0.32544659;0.330531516;0.386762362
48;10.183;0.300729853;0.306296195;0.333596237;0.334972086;0.394038857
49;10.4;0.308395122;0.307604499;0.334347583;0.338709748;0.393815409
50;10.617;0.31333203;0.306091132;0.337423187;0.3432349;0.396042287
51;10.833;0.312424371;0.310737866;0.340446828;0.349205243;0.389714305
52;11.05;0.310086545;0.315154929;0.337101582;0.35225458;0.394581516
53;11.267;0.313652538;0.317697714;0.33387571;0.35185646;0.403230619
54;11.483;0.314096941;0.317573309;0.332837869;0.349706903;0.397787308
